City,State,Top Dataset,Subject,# of Hits,Second,Subject,# of Hits,Third,Subject,# of Hits,4th ,Subject,# of Hits,5th,Subject,# of Hits,App Used,,,Other notes
Lexington,KY,,,,,,,,,,,,,,,,ckan,ckan is garbage.,,
Los Angeles,CA,eCheckbook Data,Finance,"18,211",Los Angeles City Payroll Calendar,Salaries,"12,067",LA Procurement,Finance,"5,403",Payroll_Data,Salaries,"2,481",City Boundaries for Los Angeles County,City,"1,140",Socrata,Looks much different,,
Madison,WI,Map: Madison Police Calls for Service,Police Department,"19,847",Assessor Property Information,Property,"17,077",Police Incident Reports,Police Department,"11,102",Madison Police Calls for Service,Police Department,"10,037","Madison, Wisconsin Street Tree Map and Table View",City,"6,279",Socrata,,,
Montgomery,MD,Parking Garage Space Availability,Transportation,"316,858",Leaf Collection Posting Log,City,"104,025",Food Inspection,Inspections,"46,017",Employee Salaries-2014,Salaries,"40,883",MC311 Service Requests,City,"28,069",Socrata,,,
Louisville,KY,Animal Tag Data,Animals,na,Daily LMDC Population Snapshots (Louisville Metro Dept of Correction facilities),Police Department,na,Crime Data,Police Department,na,Employee Salary Data,Salaries,na,Animal Service Intake and outcome data,Animals,na,na,,,
New York City,NY,DOB Job Application Filings,City,"1,348,673",New Driver Application Status,Transportation,"617,800",For Hire Vehicles- Active Drivers,Transportation,"269,336",For Hire Vehicles - Active and Inactive Vehicles,Transportation,"232,248",Medallion Drivers- Active,Transportation,"157,840",Socrata,,,
Providence,RI,2013 Residential Assessment,Properties,"23,744",Providence Police Case Log- Past 180 days,Police Department,"14,613",2014 Property Tax Roll,Properties,"13,982","Citywide Paving Projects, 2013-2015",City,"10,269",1940 City Field Assessment Records,GIS,"6,472",Socrata,,,
San Mateo County,CA,Job Classification Tabke: Table View,Salaries,"39,285",Affordable Housing Map,Properties,"28,001",Unclaimed Checks,City,"9,611",Job Classification Table,Salaries,"9,569",Checkbook Live Data,Finance,"2,761",Socrata,,,
Raleigh,NC,"Police Crime Incident Data from Jan 1, 2005-Present",Police Department,"10,684",Development Plans Dashboard,City,"7,931",All Police Incident Master Data- Heat Map,Police Department,"5,292",Building Permits- Master,Permits,"4,268",Police Incident Daily Snapshot,Police Department,"4,028",Socrata,,,
Rockford,IL,Rockford Police Dept 72hr Dispatch Call Log,Police Department,"12,627",2013 Salary Reporting,Salaries,"6,033",Building Permits Since 2009,Permits,"2,953",Rockford Crimes 2011 to Present,Police Department,"2,584",Vendor Payments,City,"2,505",,,,
